year,carrier,Llegada,Salida,diff
2013,B6,2022-06-01T11:35:00Z,2022-06-01T11:00:00Z,35
2013,AA,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,UA,2022-06-01T11:39:00Z,2022-06-01T11:00:00Z,39
2013,EV,2022-06-01T11:40:00Z,2022-06-01T11:00:00Z,40
2013,UA,2022-06-01T11:35:00Z,2022-06-01T11:00:00Z,35
2013,B6,2022-06-01T11:45:00Z,2022-06-01T11:00:00Z,45
2013,UA,2022-06-01T11:36:00Z,2022-06-01T11:00:00Z,36
2013,US,2022-06-01T11:45:00Z,2022-06-01T11:00:00Z,45
2013,EV,2022-06-01T11:45:00Z,2022-06-01T11:00:00Z,45
2013,EV,2022-06-01T11:36:00Z,2022-06-01T11:00:00Z,36
2013,UA,2022-06-01T11:45:00Z,2022-06-01T11:00:00Z,45
2013,UA,2022-06-01T11:35:00Z,2022-06-01T11:00:00Z,35
2013,DL,2022-06-01T11:55:00Z,2022-06-01T11:00:00Z,55
2013,AA,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,UA,2022-06-01T11:34:00Z,2022-06-01T11:00:00Z,34
2013,B6,2022-06-01T11:55:00Z,2022-06-01T11:00:00Z,55
2013,DL,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,DL,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,DL,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,UA,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,UA,2022-06-01T11:54:00Z,2022-06-01T11:00:00Z,54
2013,DL,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,B6,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,DL,2022-06-01T11:59:00Z,2022-06-01T11:00:00Z,59
2013,AA,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,B6,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,VX,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,DL,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,UA,2022-06-01T11:35:00Z,2022-06-01T11:00:00Z,35
2013,EV,2022-06-01T11:25:00Z,2022-06-01T11:00:00Z,25
2013,AA,2022-06-01T11:59:00Z,2022-06-01T11:00:00Z,59
2013,UA,2022-06-01T11:45:00Z,2022-06-01T11:00:00Z,45
2013,B6,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,UA,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,WN,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,UA,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,UA,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,UA,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,MQ,2022-06-01T12:10:00Z,2022-06-01T12:00:00Z,10
2013,UA,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,EV,2022-06-01T11:34:00Z,2022-06-01T11:00:00Z,34
2013,FL,2022-06-01T12:20:00Z,2022-06-01T12:00:00Z,20
2013,UA,2022-06-01T12:15:00Z,2022-06-01T12:00:00Z,15
2013,DL,2022-06-01T12:20:00Z,2022-06-01T12:00:00Z,20
2013,AA,2022-06-01T12:15:00Z,2022-06-01T12:00:00Z,15
2013,AS,2022-06-01T12:25:00Z,2022-06-01T12:00:00Z,25
2013,UA,2022-06-01T12:20:00Z,2022-06-01T12:00:00Z,20
2013,AA,2022-06-01T12:30:00Z,2022-06-01T12:00:00Z,30
2013,AA,2022-06-01T12:30:00Z,2022-06-01T12:00:00Z,30
2013,AA,2022-06-01T12:15:00Z,2022-06-01T12:00:00Z,15
2013,MQ,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,DL,2022-06-01T12:30:00Z,2022-06-01T12:00:00Z,30
2013,B6,2022-06-01T12:29:00Z,2022-06-01T12:00:00Z,29
2013,UA,2022-06-01T12:15:00Z,2022-06-01T12:00:00Z,15
2013,B6,2022-06-01T12:31:00Z,2022-06-01T12:00:00Z,31
2013,VX,2022-06-01T12:30:00Z,2022-06-01T12:00:00Z,30
2013,EV,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,B6,2022-06-01T12:10:00Z,2022-06-01T12:00:00Z,10
2013,UA,2022-06-01T12:30:00Z,2022-06-01T12:00:00Z,30
2013,DL,2022-06-01T12:40:00Z,2022-06-01T12:00:00Z,40
2013,B6,2022-06-01T12:35:00Z,2022-06-01T12:00:00Z,35
2013,AA,2022-06-01T12:30:00Z,2022-06-01T12:00:00Z,30
2013,UA,2022-06-01T12:40:00Z,2022-06-01T12:00:00Z,40
2013,AA,2022-06-01T12:45:00Z,2022-06-01T12:00:00Z,45
2013,UA,2022-06-01T12:40:00Z,2022-06-01T12:00:00Z,40
2013,AA,2022-06-01T12:45:00Z,2022-06-01T12:00:00Z,45
2013,EV,2022-06-01T12:40:00Z,2022-06-01T12:00:00Z,40
2013,UA,2022-06-01T12:45:00Z,2022-06-01T12:00:00Z,45
2013,DL,2022-06-01T12:53:00Z,2022-06-01T12:00:00Z,53
2013,AA,2022-06-01T12:55:00Z,2022-06-01T12:00:00Z,55
2013,B6,2022-06-01T12:57:00Z,2022-06-01T12:00:00Z,57
2013,B6,2022-06-01T13:00:00Z,2022-06-01T13:00:00Z,0
2013,B6,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,WN,2022-06-01T12:55:00Z,2022-06-01T12:00:00Z,55
2013,DL,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,UA,2022-06-01T12:45:00Z,2022-06-01T12:00:00Z,45
2013,US,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,UA,2022-06-01T13:00:00Z,2022-06-01T13:00:00Z,0
2013,DL,2022-06-01T13:00:00Z,2022-06-01T13:00:00Z,0
2013,EV,2022-06-01T13:03:00Z,2022-06-01T13:00:00Z,3
2013,EV,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,9E,2022-06-01T13:05:00Z,2022-06-01T13:00:00Z,5
2013,DL,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,EV,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,EV,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,FL,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,AA,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,AA,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,UA,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,WN,2022-06-01T13:00:00Z,2022-06-01T13:00:00Z,0
2013,DL,2022-06-01T13:15:00Z,2022-06-01T13:00:00Z,15
2013,DL,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,US,2022-06-01T13:15:00Z,2022-06-01T13:00:00Z,15
2013,9E,2022-06-01T13:15:00Z,2022-06-01T13:00:00Z,15
2013,B6,2022-06-01T13:12:00Z,2022-06-01T13:00:00Z,12
2013,DL,2022-06-01T13:17:00Z,2022-06-01T13:00:00Z,17
2013,DL,2022-06-01T13:15:00Z,2022-06-01T13:00:00Z,15
2013,MQ,2022-06-01T13:15:00Z,2022-06-01T13:00:00Z,15
2013,EV,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,US,2022-06-01T11:15:00Z,2022-06-01T11:00:00Z,15
2013,EV,2022-06-01T12:20:00Z,2022-06-01T12:00:00Z,20
2013,EV,2022-06-01T12:05:00Z,2022-06-01T12:00:00Z,5
2013,9E,2022-06-01T13:20:00Z,2022-06-01T13:00:00Z,20
2013,B6,2022-06-01T13:05:00Z,2022-06-01T13:00:00Z,5
2013,EV,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,EV,2022-06-01T13:34:00Z,2022-06-01T13:00:00Z,34
2013,EV,2022-06-01T13:27:00Z,2022-06-01T13:00:00Z,27
2013,9E,2022-06-01T13:20:00Z,2022-06-01T13:00:00Z,20
2013,MQ,2022-06-01T13:20:00Z,2022-06-01T13:00:00Z,20
2013,UA,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,UA,2022-06-01T12:59:00Z,2022-06-01T12:00:00Z,59
2013,EV,2022-06-01T13:03:00Z,2022-06-01T13:00:00Z,3
2013,AA,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,B6,2022-06-01T12:47:00Z,2022-06-01T12:00:00Z,47
2013,WN,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,DL,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,F9,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,AA,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,B6,2022-06-01T13:28:00Z,2022-06-01T13:00:00Z,28
2013,9E,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,B6,2022-06-01T13:19:00Z,2022-06-01T13:00:00Z,19
2013,UA,2022-06-01T13:40:00Z,2022-06-01T13:00:00Z,40
2013,UA,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,9E,2022-06-01T13:40:00Z,2022-06-01T13:00:00Z,40
2013,B6,2022-06-01T13:40:00Z,2022-06-01T13:00:00Z,40
2013,UA,2022-06-01T13:34:00Z,2022-06-01T13:00:00Z,34
2013,UA,2022-06-01T13:30:00Z,2022-06-01T13:00:00Z,30
2013,US,2022-06-01T13:45:00Z,2022-06-01T13:00:00Z,45
2013,UA,2022-06-01T13:35:00Z,2022-06-01T13:00:00Z,35
2013,AA,2022-06-01T13:35:00Z,2022-06-01T13:00:00Z,35
2013,AA,2022-06-01T13:45:00Z,2022-06-01T13:00:00Z,45
2013,EV,2022-06-01T13:40:00Z,2022-06-01T13:00:00Z,40
2013,9E,2022-06-01T13:45:00Z,2022-06-01T13:00:00Z,45
2013,B6,2022-06-01T13:07:00Z,2022-06-01T13:00:00Z,7
2013,B6,2022-06-01T13:55:00Z,2022-06-01T13:00:00Z,55
2013,DL,2022-06-01T13:59:00Z,2022-06-01T13:00:00Z,59
2013,EV,2022-06-01T13:55:00Z,2022-06-01T13:00:00Z,55
2013,9E,2022-06-01T13:55:00Z,2022-06-01T13:00:00Z,55
2013,AA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,B6,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,UA,2022-06-01T13:57:00Z,2022-06-01T13:00:00Z,57
2013,UA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,DL,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,AA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,B6,2022-06-01T13:25:00Z,2022-06-01T13:00:00Z,25
2013,US,2022-06-01T11:30:00Z,2022-06-01T11:00:00Z,30
2013,UA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,DL,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,DL,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,HA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,VX,2022-06-01T14:05:00Z,2022-06-01T14:00:00Z,5
2013,UA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,UA,2022-06-01T14:04:00Z,2022-06-01T14:00:00Z,4
2013,UA,2022-06-01T14:03:00Z,2022-06-01T14:00:00Z,3
2013,UA,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,EV,2022-06-01T14:08:00Z,2022-06-01T14:00:00Z,8
2013,UA,2022-06-01T13:57:00Z,2022-06-01T13:00:00Z,57
2013,MQ,2022-06-01T14:05:00Z,2022-06-01T14:00:00Z,5
2013,UA,2022-06-01T13:59:00Z,2022-06-01T13:00:00Z,59
2013,MQ,2022-06-01T13:50:00Z,2022-06-01T13:00:00Z,50
2013,EV,2022-06-01T13:50:00Z,2022-06-01T13:00:00Z,50
2013,DL,2022-06-01T13:27:00Z,2022-06-01T13:00:00Z,27
2013,9E,2022-06-01T12:50:00Z,2022-06-01T12:00:00Z,50
2013,UA,2022-06-01T14:06:00Z,2022-06-01T14:00:00Z,6
2013,B6,2022-06-01T14:15:00Z,2022-06-01T14:00:00Z,15
2013,UA,2022-06-01T14:08:00Z,2022-06-01T14:00:00Z,8
2013,EV,2022-06-01T13:43:00Z,2022-06-01T13:00:00Z,43
2013,UA,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,0
2013,AA,2022-06-01T14:20:00Z,2022-06-01T14:00:00Z,20
2013,DL,2022-06-01T14:05:00Z,2022-06-01T14:00:00Z,5
2013,AA,2022-06-01T14:20:00Z,2022-06-01T14:00:00Z,20
2013,EV,2022-06-01T14:24:00Z,2022-06-01T14:00:00Z,24
2013,B6,2022-06-01T14:05:00Z,2022-06-01T14:00:00Z,5
2013,B6,2022-06-01T14:28:00Z,2022-06-01T14:00:00Z,28
2013,WN,2022-06-01T14:25:00Z,2022-06-01T14:00:00Z,25
2013,EV,2022-06-01T13:22:00Z,2022-06-01T13:00:00Z,22
2013,B6,2022-06-01T14:30:00Z,2022-06-01T14:00:00Z,30
2013,EV,2022-06-01T14:29:00Z,2022-06-01T14:00:00Z,29
2013,B6,2022-06-01T14:21:00Z,2022-06-01T14:00:00Z,21
2013,MQ,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,B6,2022-06-01T14:35:00Z,2022-06-01T14:00:00Z,35
2013,B6,2022-06-01T14:29:00Z,2022-06-01T14:00:00Z,29
2013,VX,2022-06-01T14:35:00Z,2022-06-01T14:00:00Z,35
2013,AA,2022-06-01T14:40:00Z,2022-06-01T14:00:00Z,40
2013,EV,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,9E,2022-06-01T14:30:00Z,2022-06-01T14:00:00Z,30
2013,AA,2022-06-01T14:45:00Z,2022-06-01T14:00:00Z,45
2013,EV,2022-06-01T14:29:00Z,2022-06-01T14:00:00Z,29
2013,B6,2022-06-01T14:50:00Z,2022-06-01T14:00:00Z,50
2013,UA,2022-06-01T14:20:00Z,2022-06-01T14:00:00Z,20
2013,B6,2022-06-01T14:35:00Z,2022-06-01T14:00:00Z,35
2013,WN,2022-06-01T14:50:00Z,2022-06-01T14:00:00Z,50
2013,9E,2022-06-01T14:50:00Z,2022-06-01T14:00:00Z,50
2013,B6,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,B6,2022-06-01T14:15:00Z,2022-06-01T14:00:00Z,15
2013,MQ,2022-06-01T14:55:00Z,2022-06-01T14:00:00Z,55
2013,DL,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,EV,2022-06-01T15:06:00Z,2022-06-01T15:00:00Z,6
2013,B6,2022-06-01T14:59:00Z,2022-06-01T14:00:00Z,59
2013,WN,2022-06-01T14:45:00Z,2022-06-01T14:00:00Z,45
2013,DL,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,UA,2022-06-01T14:58:00Z,2022-06-01T14:00:00Z,58
2013,UA,2022-06-01T14:55:00Z,2022-06-01T14:00:00Z,55
2013,EV,2022-06-01T13:58:00Z,2022-06-01T13:00:00Z,58
2013,UA,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,DL,2022-06-01T15:05:00Z,2022-06-01T15:00:00Z,5
2013,US,2022-06-01T14:59:00Z,2022-06-01T14:00:00Z,59
2013,UA,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,MQ,2022-06-01T13:40:00Z,2022-06-01T13:00:00Z,40
2013,DL,2022-06-01T14:00:00Z,2022-06-01T14:00:00Z,0
2013,EV,2022-06-01T15:06:00Z,2022-06-01T15:00:00Z,6
2013,US,2022-06-01T15:15:00Z,2022-06-01T15:00:00Z,15
2013,US,2022-06-01T15:15:00Z,2022-06-01T15:00:00Z,15
2013,AA,2022-06-01T15:20:00Z,2022-06-01T15:00:00Z,20
2013,UA,2022-06-01T15:15:00Z,2022-06-01T15:00:00Z,15
2013,EV,2022-06-01T13:29:00Z,2022-06-01T13:00:00Z,29
2013,AA,2022-06-01T15:30:00Z,2022-06-01T15:00:00Z,30
2013,VX,2022-06-01T15:30:00Z,2022-06-01T15:00:00Z,30
2013,DL,2022-06-01T15:30:00Z,2022-06-01T15:00:00Z,30
2013,EV,2022-06-01T15:32:00Z,2022-06-01T15:00:00Z,32
2013,AA,2022-06-01T15:30:00Z,2022-06-01T15:00:00Z,30
2013,MQ,2022-06-01T14:59:00Z,2022-06-01T14:00:00Z,59
2013,B6,2022-06-01T15:31:00Z,2022-06-01T15:00:00Z,31
2013,UA,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,US,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,DL,2022-06-01T15:45:00Z,2022-06-01T15:00:00Z,45
2013,MQ,2022-06-01T15:50:00Z,2022-06-01T15:00:00Z,50
2013,MQ,2022-06-01T13:35:00Z,2022-06-01T13:00:00Z,35
2013,UA,2022-06-01T15:43:00Z,2022-06-01T15:00:00Z,43
2013,US,2022-06-01T15:15:00Z,2022-06-01T15:00:00Z,15
2013,MQ,2022-06-01T15:10:00Z,2022-06-01T15:00:00Z,10
2013,B6,2022-06-01T15:39:00Z,2022-06-01T15:00:00Z,39
2013,UA,2022-06-01T15:56:00Z,2022-06-01T15:00:00Z,56
2013,UA,2022-06-01T15:50:00Z,2022-06-01T15:00:00Z,50
2013,DL,2022-06-01T15:16:00Z,2022-06-01T15:00:00Z,16
2013,UA,2022-06-01T15:52:00Z,2022-06-01T15:00:00Z,52
2013,EV,2022-06-01T14:57:00Z,2022-06-01T14:00:00Z,57
2013,B6,2022-06-01T15:59:00Z,2022-06-01T15:00:00Z,59
2013,DL,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,DL,2022-06-01T15:21:00Z,2022-06-01T15:00:00Z,21
2013,UA,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,DL,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,US,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,UA,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,MQ,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,B6,2022-06-01T15:50:00Z,2022-06-01T15:00:00Z,50
2013,US,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,EV,2022-06-01T15:42:00Z,2022-06-01T15:00:00Z,42
2013,B6,2022-06-01T16:10:00Z,2022-06-01T16:00:00Z,10
2013,US,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,DL,2022-06-01T16:14:00Z,2022-06-01T16:00:00Z,14
2013,AA,2022-06-01T16:15:00Z,2022-06-01T16:00:00Z,15
2013,EV,2022-06-01T15:15:00Z,2022-06-01T15:00:00Z,15
2013,B6,2022-06-01T16:29:00Z,2022-06-01T16:00:00Z,29
2013,DL,2022-06-01T16:25:00Z,2022-06-01T16:00:00Z,25
2013,DL,2022-06-01T16:30:00Z,2022-06-01T16:00:00Z,30
2013,AA,2022-06-01T16:25:00Z,2022-06-01T16:00:00Z,25
2013,B6,2022-06-01T16:25:00Z,2022-06-01T16:00:00Z,25
2013,WN,2022-06-01T16:30:00Z,2022-06-01T16:00:00Z,30
2013,DL,2022-06-01T16:34:00Z,2022-06-01T16:00:00Z,34
2013,EV,2022-06-01T16:33:00Z,2022-06-01T16:00:00Z,33
2013,B6,2022-06-01T16:29:00Z,2022-06-01T16:00:00Z,29
2013,UA,2022-06-01T16:30:00Z,2022-06-01T16:00:00Z,30
2013,AA,2022-06-01T16:40:00Z,2022-06-01T16:00:00Z,40
2013,MQ,2022-06-01T15:30:00Z,2022-06-01T15:00:00Z,30
2013,UA,2022-06-01T16:19:00Z,2022-06-01T16:00:00Z,19
2013,UA,2022-06-01T16:30:00Z,2022-06-01T16:00:00Z,30
2013,FL,2022-06-01T16:45:00Z,2022-06-01T16:00:00Z,45
2013,9E,2022-06-01T14:55:00Z,2022-06-01T14:00:00Z,55
2013,DL,2022-06-01T16:40:00Z,2022-06-01T16:00:00Z,40
2013,WN,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,UA,2022-06-01T16:44:00Z,2022-06-01T16:00:00Z,44
2013,DL,2022-06-01T16:45:00Z,2022-06-01T16:00:00Z,45
2013,WN,2022-06-01T16:05:00Z,2022-06-01T16:00:00Z,5
2013,MQ,2022-06-01T16:15:00Z,2022-06-01T16:00:00Z,15
2013,B6,2022-06-01T16:55:00Z,2022-06-01T16:00:00Z,55
2013,UA,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,9E,2022-06-01T16:55:00Z,2022-06-01T16:00:00Z,55
2013,US,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,MQ,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,B6,2022-06-01T13:10:00Z,2022-06-01T13:00:00Z,10
2013,WN,2022-06-01T17:05:00Z,2022-06-01T17:00:00Z,5
2013,B6,2022-06-01T17:10:00Z,2022-06-01T17:00:00Z,10
2013,US,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,WN,2022-06-01T17:10:00Z,2022-06-01T17:00:00Z,10
2013,DL,2022-06-01T16:45:00Z,2022-06-01T16:00:00Z,45
2013,EV,2022-06-01T16:15:00Z,2022-06-01T16:00:00Z,15
2013,MQ,2022-06-01T16:35:00Z,2022-06-01T16:00:00Z,35
2013,MQ,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,B6,2022-06-01T17:20:00Z,2022-06-01T17:00:00Z,20
2013,AA,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,US,2022-06-01T15:00:00Z,2022-06-01T15:00:00Z,0
2013,MQ,2022-06-01T17:05:00Z,2022-06-01T17:00:00Z,5
2013,UA,2022-06-01T17:17:00Z,2022-06-01T17:00:00Z,17
2013,UA,2022-06-01T17:21:00Z,2022-06-01T17:00:00Z,21
2013,DL,2022-06-01T16:00:00Z,2022-06-01T16:00:00Z,0
2013,EV,2022-06-01T16:44:00Z,2022-06-01T16:00:00Z,44
2013,DL,2022-06-01T17:40:00Z,2022-06-01T17:00:00Z,40
2013,DL,2022-06-01T17:35:00Z,2022-06-01T17:00:00Z,35
2013,AA,2022-06-01T17:45:00Z,2022-06-01T17:00:00Z,45
2013,MQ,2022-06-01T16:50:00Z,2022-06-01T16:00:00Z,50
2013,UA,2022-06-01T17:35:00Z,2022-06-01T17:00:00Z,35
2013,DL,2022-06-01T17:00:00Z,2022-06-01T17:00:00Z,0
2013,UA,2022-06-01T16:14:00Z,2022-06-01T16:00:00Z,14
2013,DL,2022-06-01T17:50:00Z,2022-06-01T17:00:00Z,50
2013,UA,2022-06-01T17:55:00Z,2022-06-01T17:00:00Z,55
2013,WN,2022-06-01T17:50:00Z,2022-06-01T17:00:00Z,50
2013,9E,2022-06-01T18:00:00Z,2022-06-01T18:00:00Z,0
2013,WN,2022-06-01T18:00:00Z,2022-06-01T18:00:00Z,0
2013,UA,2022-06-01T17:53:00Z,2022-06-01T17:00:00Z,53
